Precinct,Registered Voters,Election Day Votes,Advanced Voting Votes,Absentee by Mail Votes,Provisional Votes,Total Votes,Election Day Votes,Advanced Voting Votes,Absentee by Mail Votes,Provisional Votes,Total Votes,Election Day Votes,Advanced Voting Votes,Absentee by Mail Votes,Provisional Votes,Total Votes,Total
Acworth 1A,5458,260,1075,584,0,1919,224,883,927,3,2037,8,14,26,0,48,4004
Acworth 1B,5214,411,990,538,2,1941,276,716,686,4,1682,17,18,20,0,55,3678
Acworth 1C,5110,208,689,285,1,1183,293,1107,840,9,2249,19,28,12,0,59,3491
Addison 01,2444,237,353,340,0,930,131,343,513,3,990,12,12,12,0,36,1956
Austell 1A,5329,165,285,186,2,638,380,1312,981,10,2683,6,2,9,0,17,3338
Bells Ferry 02,3127,312,499,315,1,1127,163,428,535,1,1127,22,16,13,0,51,2305
Bells Ferry 03,2436,274,321,171,2,768,186,315,369,1,871,17,13,12,0,42,1681
Bells Ferry 04,3646,456,611,378,1,1446,198,469,509,4,1180,31,16,20,0,67,2693
Big Shanty 01,2385,210,360,251,6,827,151,304,291,1,747,14,7,9,0,30,1604
Big Shanty 02,3236,295,558,376,2,1231,191,489,547,2,1229,14,14,10,0,38,2498
Baker 01,4773,350,682,284,3,1319,299,1008,671,6,1984,24,25,16,0,65,3368
Birney 01,2727,139,241,255,6,641,217,475,452,8,1152,9,8,11,0,28,1821
Birney 02,3894,181,402,345,1,929,200,886,880,4,1970,11,11,5,0,27,2926
Bryant 01,2142,30,45,26,0,101,189,711,474,3,1377,1,7,2,0,10,1488
Bryant 02,6209,73,110,61,0,244,520,1493,796,7,2816,10,11,10,0,31,3091
Blackwell 01,2698,208,429,267,4,908,188,385,540,0,1113,21,12,9,0,42,2063
Chattahoochee 01,5969,257,494,231,4,986,432,1427,995,6,2860,24,32,21,0,77,3923
Cheatham Hill 02,3085,302,696,410,0,1408,125,407,529,1,1062,19,12,14,0,45,2515
Cheatham Hill 03,4029,310,796,492,1,1599,155,749,741,0,1645,11,22,17,0,50,3294
Chalker 01,6065,312,617,419,1,1349,489,1160,815,3,2467,30,19,18,0,67,3883
Clarkdale 01,1937,117,208,152,1,478,124,330,308,2,764,3,7,6,0,16,1258
Clarkdale 02,5372,275,476,277,2,1030,447,1278,866,5,2596,15,14,12,0,41,3667
Cooper 01,5252,140,320,234,0,694,421,1248,938,4,2611,9,7,12,0,28,3333
Chestnut Ridge 01,3162,317,596,533,0,1446,135,392,688,0,1215,10,6,24,0,40,2701
Dickerson 01,2828,258,543,402,6,1209,104,366,679,0,1149,9,9,16,0,34,2392
Dobbins 01,3024,109,134,116,7,366,250,426,361,6,1043,9,7,8,2,26,1435
Dobbins 02,3984,183,295,132,1,611,367,869,553,7,1796,23,11,9,0,43,2450
Dowell 01,3197,246,534,291,0,1071,178,591,612,4,1385,11,22,21,0,54,2510
Dodgen 01,2100,237,358,324,2,921,100,275,434,1,810,13,8,20,0,41,1772
Durham 01,4256,385,1339,557,2,2283,103,537,538,1,1179,12,18,23,0,53,3515
Davis 01,2093,310,340,207,0,857,142,293,371,1,807,15,5,20,0,40,1704
Eastside 01,3040,299,540,494,2,1335,127,366,705,2,1200,11,5,18,0,34,2569
Eastside 02,4074,301,689,706,2,1698,138,510,952,1,1601,17,21,35,0,73,3372
Elizabeth 01,4065,225,327,169,1,722,333,824,560,4,1721,12,9,17,0,38,2481
Elizabeth 02,2434,256,381,383,2,1022,130,318,414,2,864,6,7,13,0,26,1912
Elizabeth 03,2767,302,446,476,2,1226,127,384,503,0,1014,20,5,15,0,40,2280
Elizabeth 04,3011,242,269,203,1,715,282,479,556,0,1317,13,10,14,0,37,2069
Elizabeth 05,2884,327,444,332,0,1103,160,395,612,1,1168,16,6,10,0,32,2303
East Piedmont 01,2627,259,301,221,1,782,203,421,453,0,1077,12,10,5,0,27,1886
Fair Oaks 02,5779,251,396,304,5,956,495,1079,970,7,2551,13,9,10,0,32,3539
Fair Oaks 04,5322,284,307,265,0,856,510,657,649,9,1825,17,11,9,1,38,2719
Fullers Park 01,3452,341,602,493,0,1436,158,451,765,0,1374,12,10,16,0,38,2848
Ford 01,3161,307,955,401,1,1664,87,383,396,0,866,12,10,12,0,34,2564
Frey 01,2582,172,812,303,0,1287,73,343,315,1,732,4,11,11,0,26,2045
Garrison Mill 01,2872,319,556,335,1,1211,148,403,554,0,1105,18,12,7,0,37,2353
Gritters 01,4033,433,671,473,1,1578,248,486,624,1,1359,24,20,29,0,73,3010
Harmony-Leland 01,6394,135,349,221,0,705,356,1969,1487,5,3817,10,12,22,0,44,4566
Harrison 01,3122,333,875,457,0,1665,104,348,364,0,816,25,7,15,0,47,2528
Hightower 01,4262,371,724,763,0,1858,127,511,1002,0,1640,23,23,32,0,78,3576
Hayes 01,4111,362,1055,596,1,2014,131,493,591,1,1216,16,16,17,0,49,3279
Kennesaw 1A,2499,205,349,189,7,750,200,421,248,7,876,18,13,9,2,42,1668
Kennesaw 2A,3944,312,684,332,1,1329,212,613,550,4,1379,16,16,12,0,44,2752
Kennesaw 3A,6477,293,840,417,4,1554,390,1290,981,4,2665,28,29,29,0,86,4305
Kennesaw 4A,3783,238,641,369,3,1251,197,609,590,0,1396,10,21,21,0,52,2699
Kennesaw 5A,5855,494,1021,420,1,1936,366,1181,961,1,2509,28,16,19,0,63,4508
Kell 01,2006,295,325,233,0,853,139,220,330,1,690,17,7,19,1,44,1587
Kemp 01,1960,238,488,297,0,1023,81,212,253,0,546,10,8,10,0,28,1597
Kemp 02,4049,364,830,567,4,1765,163,616,647,3,1429,25,18,15,0,58,3252
Kemp 03,3955,491,1150,543,3,2187,117,431,457,0,1005,26,14,15,0,55,3247
Lassiter 01,3647,415,699,499,0,1613,150,488,676,2,1316,22,22,24,0,68,2997
Lindley 01,4797,168,351,250,0,769,284,1447,1209,2,2942,20,14,24,0,58,3769
Lost Mountain 01,3604,189,1030,491,1,1711,104,591,564,0,1259,11,13,16,0,40,3010
Lost Mountain 02,4121,344,1378,583,0,2305,118,586,523,0,1227,17,16,15,0,48,3580
Lost Mountain 03,5387,269,1658,660,1,2588,137,866,731,1,1735,16,25,26,0,67,4390
Lost Mountain 04,2629,257,725,330,1,1313,62,373,359,0,794,7,12,8,0,27,2134
Mableton 01,5127,150,500,391,4,1045,272,1166,1060,0,2498,9,19,23,0,51,3594
Mableton 02,3330,137,217,180,0,534,257,622,537,0,1416,3,9,7,0,19,1969
Mableton 03,3010,184,389,317,0,890,181,546,517,3,1247,9,8,13,0,30,2167
Mableton 04,1581,137,218,194,0,549,78,291,341,0,710,3,11,9,0,23,1282
Mabry 01,1656,227,356,247,3,833,65,196,276,1,538,14,6,5,1,26,1397
Macland 01,4213,153,394,212,0,759,270,1094,818,1,2183,10,10,9,1,30,2972
Murdock 01,4059,421,662,639,0,1722,173,510,915,0,1598,22,18,22,0,62,3382
McEachern 01,3549,152,538,362,1,1053,144,821,671,0,1636,8,6,4,0,18,2707
McCleskey 01,1736,251,344,215,0,810,76,204,328,1,609,11,5,12,0,28,1447
McClure 01,3290,368,847,376,2,1593,131,403,456,1,991,20,21,10,0,51,2635
Marietta 1A,4468,194,313,198,1,706,335,727,555,7,1624,19,13,25,0,57,2387
Marietta 2A,2059,255,356,332,0,943,128,303,324,0,755,20,7,12,0,39,1737
Marietta 2B,4447,244,503,396,2,1145,341,868,711,1,1921,15,21,21,0,57,3123
Marietta 3A,4388,317,624,512,2,1455,220,747,767,1,1735,18,21,16,0,55,3245
Marietta 3B,2218,57,105,79,0,241,172,503,443,1,1119,1,2,5,0,8,1368
Marietta 4A,1956,384,367,329,0,1080,94,187,286,1,568,18,10,11,0,39,1687
Marietta 4B,2056,184,273,226,0,683,110,343,377,1,831,9,9,17,0,35,1549
Marietta 4C,2781,268,657,369,0,1294,98,376,476,0,950,21,5,8,0,34,2278
Marietta 5A,3324,158,249,182,0,589,289,586,597,7,1479,17,10,7,0,34,2102
Marietta 5B,3084,133,144,107,1,385,276,540,421,3,1240,14,8,7,0,29,1654
Marietta 6A,2647,114,160,98,2,374,263,550,368,3,1184,3,11,3,0,17,1575
Marietta 6B,2910,238,425,307,0,970,160,503,620,0,1283,15,14,22,0,51,2304
Marietta 7A,3745,108,152,99,0,359,273,762,422,4,1461,7,13,12,0,32,1852
Mars Hill 01,3633,430,1099,452,2,1983,99,305,339,0,743,14,16,17,0,47,2773
Mars Hill 02,2916,292,579,248,0,1119,137,412,394,0,943,13,28,18,0,59,2121
Mt Bethel 01,4125,385,737,634,4,1760,123,479,1022,2,1626,17,17,30,0,64,3450
Mt Bethel 03,3294,209,651,439,0,1299,95,476,772,1,1344,11,10,17,0,38,2681
Mt Bethel 04,2981,242,557,506,0,1305,95,324,675,0,1094,11,9,22,0,42,2441
North Cobb 01,2317,209,384,203,0,796,116,409,338,1,864,17,10,7,0,34,1694
Nickajack 01,4889,152,409,217,3,781,326,1385,993,2,2706,8,11,24,0,43,3530
Norton Park 01,4922,220,487,434,1,1142,370,766,838,6,1980,25,20,29,1,75,3197
Nicholson 01,2455,293,393,282,1,969,130,324,389,0,843,18,11,15,0,44,1856
Oakdale 01,3944,258,475,397,0,1130,167,798,924,2,1891,13,13,17,0,43,3064
Oregon 01,1614,170,392,204,1,767,87,246,233,1,567,9,3,7,0,19,1353
Oregon 02,5671,226,386,377,0,989,409,1277,1123,3,2812,19,20,17,0,56,3857
Oregon 03,5713,204,353,309,2,868,459,1000,808,7,2274,11,14,21,2,48,3190
Oregon 04,4673,188,409,297,1,895,337,983,1001,4,2325,5,11,14,0,30,3250
